id,year,DPCdummy,doctor,nurse,general_beds,allowance_doctor,ave_serve_doctor,use_rates_general,ave_stays_general,ave_inpatient_per1day,ave_outpatient_per1day,inpatients_per1doctor,outpatients_per1nurse,medical_fee_per1inpatient,medical_fee_per1outpatient,inspections_per100patients,fixed_assets_per1bed,medical_revenue,non_medical_revenue,medical_cost_per1day1man,areas_facility,MrozDPC
1,25,0,13,79,146,1235532,12,65.9,22.2,112,358,6.3,2.6,28830,9143,328.1,24767,2165509,858847,17637.79656,12101,1.61826807325831
2,25,0,5,32,120,1065162,12,24,14.1,29,208,3.2,3.6,28093,10573,269.5,26736,980721,497350,17568.18681,8702,2.79474518592824
5,25,0,8,44,130,1033948,18,17.3,15.1,23,54,2.7,0.8,88155,15422,1177.8,13584,955509,624394,58162.35545,5913,0.953358585384154
6,25,0,2,23,40,817219,47,14.1,24.2,7,22,2.2,0.6,27968,10827,267.2,15995,157829,821934,93193.38687,5790,4.30547390875526
7,25,1,131,595,689,798324,17,80.3,14.2,553,1262,4.1,1.2,65173,17517,570.4,27321,19219185,1643926,30017.94181,59225,1.63847653302789e-05
9,25,1,146,559,685,915155,18,79.5,12,590,1290,3.3,1.3,63187,15773,822.1,33193,19620357,2007087,27508.59662,53660,4.31905276721539e-06
10,25,1,41,257,370,1002561,15,66.1,13.7,312,783,5.9,1.7,41321,10783,543.6,37036,7501950,1253395,19665.49822,30819,0.258842841864885
11,25,1,22,170,272,977691,17,76.6,16.2,208,507,6.9,1.8,36678,11351,514.4,26044,4532482,437224,17120.60159,14426,0.620799959466634
12,25,1,31,198,330,960220,17,65.2,13.3,224,452,5.4,1.3,43023,12925,616,30930,5375119,705098,22572.27041,23849,0.471832423756169
13,25,1,53,260,337,969938,18,81.2,12.6,274,659,3.8,1.5,51442,16051,584,41978,8099280,789384,23347.32561,24359,0.214523702342971
14,25,1,49,218,305,979212,16,81.6,11.6,250,531,3.9,1.4,50483,13417,704.8,44392,7031909,900297,23134.27113,23701,0.268386854045818
15,25,0,11,103,177,1153960,26,60.7,21.2,107,422,7.5,2.3,28828,12574,351.3,19300,2561731,269578,15170.67613,11763,1.73260362606252
16,25,0,9,24,41,1012551,21,72,17,30,192,2.5,4,29504,6434,427.4,16917,702859,538125,12101.82648,1769,2.21273639551654
17,25,1,32,209,295,1029872,15,71.2,14.9,238,763,5.2,2,43975,10869,526.9,43303,6308704,854264,17210.54836,24563,0.41264598296907
18,25,0,6,74,130,1089639,27,68.3,17.9,89,275,9.5,2.1,28968,8908,413.5,25071,1608110,377322,14748.15595,10529,1.95853769979282
19,25,0,9,107,184,1061546,22,60.1,20.3,111,251,8,1.3,31387,12819,443.9,32186,2170941,353083,20396.69265,12740,1.82332177338483
20,25,1,30,171,290,1075364,20,62.2,14.1,192,669,4.4,2.1,42400,7927,486,46153,4839217,734723,16937.07222,20958,0.60566870767683
21,25,0,8,139,48,1219190,23,68.1,16.6,237,365,19.1,1.4,15369,5993,144.3,25370,1967332,840626,13069.44432,20774,3.09182257457202
24,25,0,5,41,60,1093367,24,84.6,19.5,84,140,12,1.8,21146,5731,313.4,14764,924901,260317,12749.92661,6521,2.2586650545053
26,25,0,4,36,68,1090333,23,90.2,22.7,61,103,17.2,1.5,25459,10383,355.5,27093,882843,103728,14903.90912,4154,2.12946739264526
30,25,1,139,650,658,875147,17,86.2,13.1,567,1151,3.3,1.1,60217,14926,541.5,53132,18389823,1934163,29866.5747,63265,0.000513161419442594
31,25,1,45,311,452,920891,18,73,17,330,819,6.2,1.5,38238,9243,267.1,17370,6922189,745405,18519.85884,25554,0.110100463198809
32,25,1,25,174,219,918367,21,69.2,16,151,501,5,1.6,35435,9134,292.8,23243,3303683,628853,19389.56635,17519,1.17218438588392
34,25,0,11,87,98,1104470,7,66.1,15.4,65,268,5,1.8,35013,9677,215.7,29548,1597473,841380,18121.14032,9382,1.95480452104059
35,25,0,3,23,32,1030167,14,36,12.1,12,62,3.2,1.6,27584,7105,194.6,10913,310109,405214,25343.35431,2205,3.24856018997608
39,25,1,103,483,475,754167,6,77.7,12.7,373,940,3.1,1.2,63326,17908,950,28504,13071448,1570141,28638.42085,35376,0.00658763113240512
42,25,1,63,251,324,668859,9,71.4,15.3,231,452,3.4,1.1,53113,20751,581,36652,7017546,1519168,33602.20221,40061,0.334380052514305
43,25,0,7,50,80,705429,9,90.6,62.8,72,108,7.7,1.3,32123,8623,113.5,48472,1089475,842633,26915.09893,13664,1.94384376206366
44,25,1,30,181,240,850789,22,61.8,12.6,148,338,3.3,1,111960,10229,1045.1,33132,7087007,776706,43851.74474,25000,0.0377505221881663
45,25,0,46,211,357,781690,17,68.6,16.2,245,396,4.6,1.1,47810,28489,792.5,44220,7282761,812917,34440.8138,33701,0.398417794231567
47,25,0,45,226,150,838586,17,73.5,13.5,110,191,2.2,0.5,78463,15437,605.1,53366,4149743,1531869,49423.86565,17704,0.942013884035574
48,25,1,49,311,268,879187,20,87.3,13.9,256,316,4.6,0.6,74005,18190,889.1,27159,8661748,1795964,47055.94406,28287,0.241169919732561
49,25,0,95,466,503,745351,7,73.9,14.5,315,757,2.9,1,57300,24934,641.2,65214,11824894,2597033,40138.06226,110362,0.0671997713079643
50,25,0,72,375,300,712095,20,77,14.2,231,529,2,0.9,76532,15861,585.8,24554,9001073,2032707,39538.47152,26577,0.219977501206539
52,25,0,44,262,220,719600,19,80.8,16,178,341,3.8,0.8,74674,9590,1018.4,42849,5860040,1646296,39223.52258,22000,0.33845056520638
53,25,0,4,44,179,805417,25,10.2,13.6,18,104,1.8,1.2,31449,17187,1308.1,11912,753896,254406,33464.60813,13055,2.32041162598965
54,25,1,24,193,237,757575,20,74.1,16.1,176,540,5,1.8,45010,8757,616.9,18344,4302810,584704,18682.39841,15418,0.625730289223976
56,25,1,88,299,341,815500,20,81.6,11.7,278,491,2.8,1.3,65104,32097,886,22101,11841492,2735119,44244.40565,31790,0.11567338791885
57,25,0,37,175,100,923605,19,75.8,13.6,76,26,1.9,0.1,102095,18119,1140.6,32711,4687707,250834,126447.596,11172,0.440529062487511
58,25,1,54,300,224,751445,22,71.2,14.3,159,329,1.7,0.7,81553,23409,500.3,26254,6876549,2348653,46030.00225,21269,0.595716707668404
59,25,1,98,447,452,733385,16,75.5,12.6,364,737,2.7,1.2,63761,9196,543.2,21086,11764047,2178750,35118.89565,34437,0.0277391923820045
60,25,1,95,433,508,693172,19,80.1,14.4,407,837,3.1,1.4,51577,9768,501.9,18303,10767493,2837484,29031.07959,43650,0.0134768499138345
61,25,1,150,681,803,618886,19,84.4,17.7,678,1159,3.2,1.3,54004,23858,802.8,31800,22517816,6941937,41533.58588,73030,4.53689483066347e-06
62,25,1,159,687,726,712864,17,85.2,13.7,644,1146,2.7,1.3,62732,14523,784.3,25605,22163106,5129861,36804.93763,62804,7.32035447068237e-06
63,25,0,42,245,304,550023,20,80.9,22.1,246,16,4.4,0.1,41431,15824,425.8,11911,3948419,2807528,69199.30984,23933,0.821487718043515
64,25,0,59,465,90,566289,18,63.6,48.7,798,411,9.9,0.7,20230,8158,155.7,31436,7236367,5923181,28201.33927,90841,3.45263947223655
71,25,0,3,27,55,1508385,18,74.6,18.7,41,84,12.4,1.7,28482,8173,450.1,6279,631920,246607,18494.1589,217,2.11686144062913
72,25,0,5,33,55,1080500,16,78.3,23.9,43,134,6.9,2.4,27102,7231,381,9352,707180,337609,15584.49036,19,2.0624793430424
73,25,0,4,44,67,1442762,17,45.8,13.8,31,154,4.1,2.3,32956,7822,365,6694,723589,492565,17693.59496,3883,2.50581021645489
