Country,GDPperCapita,LiteracyRate
Mali,679,26
Niger,343,29
BurkinaFaso,517,29
Ethiopia,345,30
Chad,610,34
Guinea,470,39
SierraLeone,393,41
Benin,739,42
Gambia,543,46
Haiti,626,49
Senegal,1018,50
Guinea-Bissau,517,52
Bhutan,1783,53
Mozambique,418,55
CentralAfricanRepublic,448,55
CotedIvoire,1093,55
Bangladesh,550,56
Pakistan,886,56
Morocco,2834,56
Togo,480,57
Mauritania,866,57
Liberia,216,59
Nepal,436,59
PapuaNewGuinea,1174,60
Nigeria,1123,61
Yemen,1141,62
India,1075,63
Madagascar,448,64
Egypt,2265,66
Burundi,151,67
Eritrea,369,67
Ghana,627,67
Sudan,1305,70
Angola,1892,70
Uganda,523,71
Rwanda,527,71
Zambia,985,71
Cameroon,1136,71
UnitedRepublicofTanzania,548,73
LaoPeoplesDemocraticRepublic,884,73
Algeria,4029,73
Malawi,318,74
Comoros,785,74
Guatemala,2661,74
Cambodia,729,78
Iraq,830,78
Nicaragua,1114,78
Tunisia,3852,78
Vanuatu,2687,82
Honduras,1930,84
SyrianArabRepublic,2463,84
ElSalvador,3424,84
Ecuador,4206,84
Botswana,5959,84
CapeVerde,3131,85
Jamaica,4566,86
SaudiArabia,14353,86
Kenya,739,87
Swaziland,2668,87
Oman,18876,87
DominicanRepublic,4618,88
Mauritius,6729,88
Gabon,7647,88
SaoTomeandPrincipe,1302,89
Namibia,4288,89
SouthAfrica,5707,89
LibyanArabJamahiriya,9153,89
Lesotho,780,90
Peru,4403,90
Brazil,8114,90
Lebanon,8175,90
PuertoRico,24744,90
UnitedArabEmirates,54138,90
SriLanka,2112,91
Turkey,8215,91
Bahrain,24409,91
Zimbabwe,324,92
Myanmar,380,92
Indonesia,2349,92
Jordan,3973,92
Malaysia,6967,92
Seychelles,9354,92
Malta,19543,92
VietNam,1058,93
Colombia,5031,93
Mexico,7956,93
EquatorialGuinea,17544,93
ChinaMacaoSAR,39385,93
China,3769,94
Thailand,3894,94
Panama,7155,94
Kuwait,36668,94
OccupiedPalestinianTerritory,1367,95
Philippines,1747,95
Paraguay,2314,95
Suriname,5707,95
Portugal,21807,95
BruneiDarussalam,26385,95
Singapore,37394,95
Qatar,69754,95
Albania,3846,96
CostaRica,6395,96
NetherlandsAntilles,20295,96
Mongolia,1577,97
TFYRofMacedonia,4662,97
Greece,29006,97
RepublicofMoldova,1500,98
Maldives,4131,98
BosniaandHerzegovina,4525,98
Serbia,5612,98
Bulgaria,6458,98
Romania,7573,98
Argentina,7666,98
Uruguay,9376,98
Aruba,24625,98
Cyprus,29623,98
Spain,32605,98
Kyrgyzstan,835,99
Uzbekistan,1199,99
Samoa,2926,99
Tonga,3259,99
Chile,9623,99
Hungary,12886,99
Croatia,14273,99
TrinidadandTobago,15782,99
Italy,35289,99
CaymanIslands,54827,99
NorthKorea,499,100
Tajikistan,716,100
Georgia,2522,100
Ukraine,2569,100
Armenia,2770,100
Turkmenistan,3397,100
Azerbaijan,4871,100
Belarus,5090,100
Cuba,5437,100
Kazakhstan,6981,100
RussianFederation,8736,100
Lithuania,11211,100
Poland,11311,100
Latvia,11505,100
Estonia,14374,100
Slovenia,24333,100
